"unidade";"equipe"
"CS CAMPECHE";"1280"
"CS INGLESES";"435"
"CS RIO VERMELHO";"420"
"CS LAGOA DA CONCEICAO";"471"
"CS LAGOA DA CONCEICAO";"472"
"CS RIO VERMELHO";"423"
"CS SACO DOS LIMOES";"310"
"CS SACO GRANDE";"335"
"CS MONTE CRISTO";"40"
"CS SANTINHO";"980"
"CS SANTINHO";"981"
"CS SANTO ANTONIO DE LISBOA";"360"
"CS MONTE CRISTO";"41"
"CS MONTE CRISTO";"42"
"CS BARRA DA LAGOA";"9301"
"CS TAPERA";"260"
"CS PANTANAL";"162"
"CS MONTE SERRAT";"120"
"CS TRINDADE";"855"
"CS MONTE SERRAT";"121"
"CS MONTE SERRAT";"122"
"CS MORRO DAS PEDRAS";"250"
"CS RATONES";"351"
"CS TRINDADE";"850"
"CS MONTE CRISTO";"46"
"CS TRINDADE";"851"
"CS CAMPECHE";"281"
"CS CANASVIEIRAS";"380"
"CS MORRO DAS PEDRAS";"251"
"CS NOVO CONTINENTE";"100"
"CS COLONINHA";"71"
"CS TAPERA";"265"
"CS MONTE CRISTO";"45"
"CS COQUEIROS";"601"
"CS COSTEIRA DO PIRAJUBAE";"300"
"CS CACHOEIRA DO BOM JESUS";"402"
"CS CORREGO GRANDE";"172"
"CS COSTA DA LAGOA";"460"
"CS ARMACAO";"241"
"CS BARRA DA LAGOA";"440"
"CS CAMPECHE";"282"
"CS RIO TAVARES";"290"
"CS RIO TAVARES";"292"
"CS CANASVIEIRAS";"381"
"CS CANASVIEIRAS";"383"
"CS COLONINHA";"70"
"CS SACO GRANDE";"1333"
"CS ESTREITO";"81"
"CS CENTRO";"1950"
"CS JOAO PAULO";"8"
"CS CANASVIEIRAS";"384"
"CS CANASVIEIRAS";"2"
"CS PONTA DAS CANAS";"370"
"CS ESTREITO";"82"
"CS ESTREITO";"83"
"CS LAGOA DA CONCEICAO";"1472"
"CS INGLESES";"10"
"CS INGLESES";"433"
"CS SANTO ANTONIO DE LISBOA";"362"
"CS INGLESES";"434"
"CS ITACORUBI";"190"
"CS ITACORUBI";"193"
"CS JARDIM ATLANTICO";"10"
"CS RIO VERMELHO";"425"
"CS SACO GRANDE";"332"
"CS JOAO PAULO";"320"
"CS VARGEM PEQUENA";"340"
"CS SANTO ANTONIO DE LISBOA";"1"
"CS CANASVIEIRAS";"9302"
"CS JOAO PAULO";"321"
"CS INGLESES";"430"
"CS SANTO ANTONIO DE LISBOA";"9312"
"CS RIO TAVARES";"291"
"CS SACO GRANDE";"336"
"CS PRAINHA";"1130"
"CS TAPERA";"261"
"CS TAPERA";"262"
"CS TAPERA";"264"
"CS VARGEM GRANDE";"410"
"CS LAGOA DA CONCEICAO";"470"
"CS SACO GRANDE";"1332"
"CS COSTEIRA DO PIRAJUBAE";"7"
"CS TRINDADE";"854"
"CS CENTRO";"950"
"CS RIO TAVARES";"293"
"CS PRAINHA";"133"
"CS MONTE CRISTO";"44"
"CS AGRONOMICA";"694"
"CS COSTEIRA DO PIRAJUBAE";"303"
"CS BARRA DA LAGOA";"441"
"CS BARRA DA LAGOA";"442"
"CS CACHOEIRA DO BOM JESUS";"400"
"CS CACHOEIRA DO BOM JESUS";"401"
"CS CARIANOS";"271"
"CS COLONINHA";"72"
"CS COSTEIRA DO PIRAJUBAE";"301"
"CS MONTE SERRAT";"1120"
"CS COSTEIRA DO PIRAJUBAE";"302"
"CS FAZENDA DO RIO TAVARES";"780"
"CS CANASVIEIRAS";"9303"
"CS AGRONOMICA";"1690"
"CS INGLESES";"431"
"CS INGLESES";"432"
"CS BARRA DA LAGOA";"1441"
"CS ABRAAO";"572"
"CS RATONES";"350"
"CS FAZENDA DO RIO TAVARES";"782"
"POLICLINICA MUNICIPAL CENTRO";"180"
"CS JURERE";"390"
"CS SACO GRANDE";"331"
"CS SACO GRANDE";"334"
"CS ITACORUBI";"194"
"CS NOVO CONTINENTE";"101"
"CS COQUEIROS";"3"
"CS PANTANAL";"160"
"CS PRAINHA";"130"
"CS PRAINHA";"132"
"CS SANTO ANTONIO DE LISBOA";"361"
