"unidade";"equipe";"cd_grupo_cid";"nm_grupo_cid";"consultas"
"CS ABRAAO";"570";"Z70-Z76";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE EM OUTRAS CIRCUNSTÂNCIAS";"784"
"CS ABRAAO";"570";"Z00-Z13";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE PARA EXAME E INVESTIGAÇÃO";"488"
"CS ABRAAO";"570";"I10-I15";"DOENÇAS HIPERTENSIVAS";"351"
"CS ABRAAO";"570";"J00-J06";"INFECÇÕES AGUDAS DAS VIAS AÉREAS SUPERIORES";"342"
"CS ABRAAO";"570";"F40-F48";"TRANSTORNOS NEURÓTICOS, TRANSTORNOS RELACIONADOS COM O ""STRESS"" E TRANSTORNOS SOMATOFORMES";"184"
"CS ABRAAO";"570";"A90-A99";"FEBRES POR ARBOVÍRUS E FEBRES HEMORRÁGICAS VIRAIS";"146"
"CS ABRAAO";"570";"R50-R69";"SINTOMAS E SINAIS GERAIS";"127"
"CS ABRAAO";"570";"A00-A09";"DOENÇAS INFECCIOSAS INTESTINAIS";"112"
"CS ABRAAO";"570";"R10-R19";"SINTOMAS E SINAIS RELATIVOS AO APARELHO DIGESTIVO E AO ABDOME";"109"
"CS ABRAAO";"570";"F30-F39";"TRANSTORNOS DO HUMOR [AFETIVOS]";"108"
"CS ABRAAO";"571";"Z00-Z13";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE PARA EXAME E INVESTIGAÇÃO";"796"
"CS ABRAAO";"571";"Z70-Z76";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE EM OUTRAS CIRCUNSTÂNCIAS";"720"
"CS ABRAAO";"571";"I10-I15";"DOENÇAS HIPERTENSIVAS";"652"
"CS ABRAAO";"571";"B95-B97";"AGENTES DE INFECÇÕES BACTERIANAS, VIRAIS E OUTROS AGENTES INFECCIOSOS";"246"
"CS ABRAAO";"571";"A90-A99";"FEBRES POR ARBOVÍRUS E FEBRES HEMORRÁGICAS VIRAIS";"218"
"CS ABRAAO";"571";"R50-R69";"SINTOMAS E SINAIS GERAIS";"201"
"CS ABRAAO";"571";"J00-J06";"INFECÇÕES AGUDAS DAS VIAS AÉREAS SUPERIORES";"195"
"CS ABRAAO";"571";"E10-E14";"DIABETES MELLITUS";"188"
"CS ABRAAO";"571";"F40-F48";"TRANSTORNOS NEURÓTICOS, TRANSTORNOS RELACIONADOS COM O ""STRESS"" E TRANSTORNOS SOMATOFORMES";"101"
