CD_CID;DS_CID;CD_SUBGRUPO;DS_SUBGRUPO;CD_GRUPO;DS_GRUPO;CD_CAPITULO;DS_CAPITULO
A698;OUTR INFECC ESPEC P/ESPIROQUETAS;A69;OUTR INFECC P/ESPIROQUETAS;A65-A69;OUTRAS DOENÇAS POR ESPIROQUETAS;1;ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS
W286;AREAS INDUSTRIAIS E EM CONSTRUCAO;W28;CONTATO SEGADEIRA MOT P/CORTAR APARAR GRAMA;W20-W49;EXPOSIÇÃO A FORÇAS MECÂNICAS INANIMADAS;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
O352;ASSIST PREST MAE P/DOENC HEREDITARIA DO FETO;O35;ASSIST PREST MAE ANORM LESAO FET CONHEC SUSP;O30-O48;ASSISTÊNCIA PRESTADA À MÃE POR MOTIVOS LIGADOS AO FETO E À CAVIDADE AMNIÓTICA E POR POSSÍVEIS PROBLEMAS RELATIVOS AO PARTO;15;GRAVIDEZ, PARTO E PUERPÉRIO
S571;LESAO P/ESMAG DE OUTR PARTES DO ANTEBRACO;S57;LESAO P/ESMAG DO ANTEBRACO;S50-S59;TRAUMATISMOS DO COTOVELO E DO ANTEBRAÇO;19;LESÕES, ENVENENAMENTO E ALGUMAS OUTRAS CONSEQ. DE CAUSAS EXTERNAS
W927;FAZENDA;W92;EXPOSICAO CALOR EXCESSIVO ORIG ARTIFICIAL;W85-W99;EXPOSIÇÃO À CORRENTE ELÉTRICA, À RADIAÇÃO E ÀS TEMPERATURAS E PRESSÕES EXTREMAS DO AMBIENTE;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
O291;COMPLIC CARD ANESTESIA ADMIN DURANTE GRAV;O29;COMPLIC ANESTESIA ADMIN DURANTE GRAVIDEZ;O20-O29;OUTROS TRANSTORNOS MATERNOS RELACIONADOS PREDOMINANTEMENTE COM A GRAVIDEZ;15;GRAVIDEZ, PARTO E PUERPÉRIO
Q210;COMUNICACAO INTERVENTRICULAR;Q21;MALFORMACOES CONGEN DOS SEPTOS CARDIACOS;Q20-Q28;MALFORMAÇÕES CONGÊNITAS DO APARELHO CIRCULATÓRIO;17;MALFORMAÇÕES CONGÊNITAS, DEFORMIDADES E ANOMALIAS CROMOSSÔMICAS
W207;FAZENDA;W20;IMPACTO CAUS OBJETO LANC PROJETADO EM QUEDA;W20-W49;EXPOSIÇÃO A FORÇAS MECÂNICAS INANIMADAS;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
D732;ESPLENOMEGALIA CONGESTIVA CRONICA;D73;DOENC DO BACO;D70-D77;OUTRAS DOENÇAS DO SANGUE E DOS ÓRGÃOS HEMATOPOÉTICOS;3;DOENÇAS DO SANGUE E DOS ÓRG. HEMATOPOÉTICOS E ALGUNS TRANSTORNOS IMUNITÁRIOS
P143;OUTR LESOES PLEXO BRAQUIAL DEV TRAUM PARTO;P14;LESOES AO NASCER DO SIST NERVOSO PERIFERICO;P10-P15;TRAUMATISMO DE PARTO;16;ALGUMAS AFECÇÕES ORIGINADAS NO PERÍODO PERINATAL
D447;CORPOS AORTICOS E OUTR PARAGANGLIOS;D44;NEOPL COMP INCERTO/DESCONH GLAND ENDOCRINAS;D37-D48;NEOPLASIAS [TUMORES] DE COMPORTAMENTO INCERTO OU DESCONHECIDO;2;NEOPLASIAS [TUMORES]
B874;MIIASE AURICULAR;B87;MIIASE;B85-B89;PEDICULOSE, ACARÍASE E OUTRAS INFESTAÇÕES;1;ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS
L87;TRANST DA ELIMINACAO TRANSEPIDERMICA;L87;TRANST DA ELIMINACAO TRANSEPIDERMICA;L80-L99;OUTRAS AFECÇÕES DA PELE E DO TECIDO SUBCUTÂNEO;12;DOENÇAS DA PELE E DO TECIDO SUBCUTÂNEO
X951;HABITACAO COLETIVA;X95;AGRESSAO DISPARO OUTR ARMA DE FOGO OU NE;X85-Y09;AGRESSÕES;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
X04;EXPOSICAO COMBUSTAO SUBST MUITO INFLAMAVEL;X04;EXPOSICAO COMBUSTAO SUBST MUITO INFLAMAVEL;X00-X09;EXPOSIÇÃO AO FUMO, AO FOGO E ÀS CHAMAS;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
